UTC,Open,High,Low,Close,Volume
02.10.2025 01:00:00.000 UTC,15199.571,15347.999,15173.571,15278.775,0.29174
02.10.2025 04:00:00.000 UTC,15276.571,15341.469,15263.622,15318.52,0.128499
02.10.2025 08:00:00.000 UTC,15318.877,15343.999,15303.469,15331.724,0.070615
02.10.2025 12:00:00.000 UTC,15330.52,15353.999,15261.622,15280.928,0.17817600000000003
02.10.2025 16:00:00.000 UTC,15279.826,15285.775,15251.469,15260.928,0.054694
02.10.2025 20:00:00.000 UTC,15260.469,15262.999,15256.52,15260.877,0.003045
03.10.2025 01:00:00.000 UTC,15258.775,15283.999,15198.673,15204.52,0.17124499999999998
03.10.2025 04:00:00.000 UTC,15205.673,15210.571,15160.469,15200.469,0.09187200000000001
03.10.2025 08:00:00.000 UTC,15199.877,15220.469,15198.571,15202.52,0.04698
03.10.2025 12:00:00.000 UTC,15203.928,15210.999,15188.469,15208.826,0.131805
03.10.2025 16:00:00.000 UTC,15208.622,15217.999,15174.673,15190.724,0.087609
03.10.2025 20:00:00.000 UTC,15189.775,15191.979,15183.52,15186.469,0.002146
06.10.2025 01:00:00.000 UTC,15189.999,15199.999,15131.571,15152.622,0.326392
06.10.2025 04:00:00.000 UTC,15152.826,15179.999,15124.52,15141.571,0.127307
06.10.2025 08:00:00.000 UTC,15142.979,15151.979,15134.469,15139.673,0.034336
06.10.2025 12:00:00.000 UTC,15138.877,15191.999,15132.469,15185.928,0.128412
06.10.2025 16:00:00.000 UTC,15185.469,15202.979,15180.52,15191.673,0.053447
06.10.2025 20:00:00.000 UTC,15190.622,15193.999,15190.52,15193.673,0.001769